,a,b,rmean,smean,imean,s1,s2,s3
6dFGS,1.4255073195371515,-0.7944021209896643,0.12210341483436217,2.259226370170222,3.3598076911406336,0.0458957776715592,0.3374411925041987,0.14489026681583983
SDSS,1.3600475600749868,-0.8373980484962611,0.05826827910431471,2.2013019175474007,3.296441963089084,0.04730107867114083,0.2814227841609212,0.1920066532545458
LAMOST,1.430377837311603,-0.7815859421523622,-0.18131816847502763,2.1151021792645057,3.4287661397767537,0.0549041758298059,0.3070623578378192,0.19067344028922936
