,a,b,rmean,smean,imean,s1,s2,s3
6dFGS,1.4375588310850878,-0.8066871781439846,0.10325126737628372,2.2232286671396198,3.3458226012538823,0.05195996524860037,0.3427954768217263,0.16718017159246254
SDSS,1.445862175644482,-0.8758743492165378,0.04561818594300742,2.2203227810595982,3.328647237864798,0.04769214179689703,0.2933204983962869,0.17466012642064294
LAMOST,1.5957599297439948,-0.8231040407659986,-0.09958912565679073,2.1884373947328806,3.447469712771885,0.061867712263833335,0.2986501819313774,0.17466433641293924
