,a,b,rmean,smean,imean,s1,s2,s3
6dFGS,1.4733672218719314,-0.8066767241101522,0.09221718152514413,2.2393985678049075,3.362326531884216,0.04854908692250342,0.3421049665558938,0.16497865112603588
SDSS,1.4475124239439838,-0.8786265454847854,0.04740501349284968,2.2219437043259505,3.3288007012356022,0.04740222273397907,0.2932074640828767,0.17323667972122028
LAMOST,1.4271273985550064,-0.8024934391956065,-0.09555255771547971,2.159105737357946,3.399662608547319,0.05954699920689673,0.2987056518157523,0.1997245968828011
