,a,b,rmean,smean,imean,s1,s2,s3
6dFGS,1.4211040819011578,-0.8845259859135229,0.18716291363851206,2.2588595649606464,3.2140366530649165,0.04035291576068559,0.27579936832370544,0.14486149464673934
SDSS,1.4336643242624272,-0.9113742380035698,0.1546147764159698,2.2373869403806665,3.184806083352044,0.04374485608132042,0.2634297393424883,0.16217587707304423
LAMOST,1.4397691260877075,-0.9326479085359363,-0.044800373936793175,2.1684865511598574,3.292357351743608,0.04778511006723919,0.2649458555629201,0.15839410348734834
