,a,b,rmean,smean,imean,s1,s2,s3
6dFGS,1.5511525909759878,-0.8051550311524756,0.11120366893500912,2.2391622977990373,3.3527406974796183,0.050530199930826386,0.3424201132294768,0.15598464474829915
SDSS,1.4352515941021704,-0.8710585128454542,0.04483760588579432,2.2172905451322262,3.3255784867489395,0.048007043077042434,0.29199046712298077,0.1770780388588496
LAMOST,1.5596546678475727,-0.8243461443081141,-0.09954442697001925,2.186306674261126,3.4468552939139196,0.06194741771775034,0.2945286067909035,0.17390689618380148
