col1,2MASS
2MASXJ01185449-0040594,01185449-0040594
2MASXJ01205644-0006199,01205644-0006199
2MASXJ01223539-0034123,01223539-0034123
2MASXJ01280211-0044175,01280211-0044175
2MASXJ01312182-0035432,01312182-0035432
2MASXJ01312288-0040272,01312288-0040272
2MASXJ01331492-0038129,01331492-0038129
2MASXJ03234412-0000491,03234412-0000491
2MASXJ03534132-0052430,03534132-0052430
2MASXJ04022336-0009569,04022336-0009569
2MASXJ04042320-0027534,04042320-0027534
2MASXJ04242535-0044465,04242535-0044465
2MASXJ04262586-0046058,04262586-0046058
2MASXJ08225022-0053523,08225022-0053523
2MASXJ09014955-0023529,09014955-0023529
2MASXJ10134639-0057054,10134639-0057054
2MASXJ10135566-0053104,10135566-0053104
2MASXJ10175376-0036534,10175376-0036534
2MASXJ10403461-0054341,10403461-0054341
2MASXJ10521487-0057198,10521487-0057198
2MASXJ11004667-0023491,11004667-0023491
2MASXJ11023330-0017275,11023330-0017275
2MASXJ11090175-0049007,11090175-0049007
2MASXJ11091482-0055407,11091482-0055407
2MASXJ11101963-0008342,11101963-0008342
2MASXJ12553812-0035264,12553812-0035264
2MASXJ13205466-0056286,13205466-0056286
2MASXJ15044418-0021071,15044418-0021071
2MASXJ16064280-0013055,16064280-0013055
2MASXJ17203994-0055593,17203994-0055593
2MASXJ17205241-0059583,17205241-0059583
2MASXJ21291335-0031255,1291335-0031255
2MASXJ23345840-0012055,3345840-0012055
2MASXJ23394127-0002045,3394127-0002045
2MASXJ23412592-0039437,3412592-0039437
2MASXJ00201307+0959276,00201307+0959276
2MASXJ00412673+0904133,00412673+0904133
2MASXJ00580043+0921541,00580043+0921541
2MASXJ01033167+0907534,01033167+0907534
2MASXJ01042710+0905473,01042710+0905473
2MASXJ01052342+0949564,01052342+0949564
2MASXJ01251075+0908016,01251075+0908016
2MASXJ02151684+0913297,02151684+0913297
2MASXJ02334085+0949468,02334085+0949468
2MASXJ02345692+0949127,02345692+0949127
2MASXJ02470692+0933560,02470692+0933560
2MASXJ02475936+0926594,02475936+0926594
2MASXJ02482693+0918467,02482693+0918467
2MASXJ02513343+0945404,02513343+0945404
2MASXJ02520185+0918119,02520185+0918119
2MASXJ02531665+0927479,02531665+0927479
2MASXJ02561899+0916576,02561899+0916576
2MASXJ03200796+0955487,03200796+0955487
2MASXJ03233759+0918587,03233759+0918587
2MASXJ03385985+0934039,03385985+0934039
2MASXJ03391655+0946201,03391655+0946201
2MASXJ03394134+0944321,03394134+0944321
2MASXJ03400035+0948172,03400035+0948172
2MASXJ03404482+0948516,03404482+0948516
2MASXJ03500811+0917188,03500811+0917188
2MASXJ08022465+0924489,08022465+0924489
2MASXJ09110557+0920581,09110557+0920581
2MASXJ09124790+0953110,09124790+0953110
2MASXJ10254019+0947205,10254019+0947205
2MASXJ10314254+0904503,10314254+0904503
2MASXJ10581720+0920466,10581720+0920466
2MASXJ11011408+0915544,11011408+0915544
2MASXJ11035137+0907592,11035137+0907592
2MASXJ11125448+0930505,11125448+0930505
2MASXJ12212323+0950529,12212323+0950529
2MASXJ12312957+0940021,12312957+0940021
2MASXJ12562265+0918374,12562265+0918374
2MASXJ13110349+0949057,13110349+0949057
2MASXJ13413838+0908556,13413838+0908556
2MASXJ13531539+0913210,13531539+0913210
2MASXJ13572955+0957027,13572955+0957027
2MASXJ14015275+0937498,14015275+0937498
2MASXJ14022432+0929597,14022432+0929597
2MASXJ14024209+0920477,14024209+0920477
2MASXJ14561256+0924188,14561256+0924188
2MASXJ15003389+0903430,15003389+0903430
2MASXJ15270627+0947465,15270627+0947465
2MASXJ15481174+0904250,15481174+0904250
2MASXJ15514378+0946082,15514378+0946082
2MASXJ20515950+0914006,0515950+0914006
2MASXJ21384454+0950235,1384454+0950235
2MASXJ23172518+0925066,3172518+0925066
2MASXJ23204018+0934284,3204018+0934284
2MASXJ23234808+0909198,3234808+0909198
2MASXJ23272155+0919161,3272155+0919161
2MASXJ23283019+0932123,3283019+0932123
2MASXJ23295672+0948585,3295672+0948585
2MASXJ23312057+0914364,3312057+0914364
2MASXJ23354555+0927299,3354555+0927299
2MASXJ23364086+0953291,3364086+0953291
2MASXJ23410566+0919148,3410566+0919148
2MASXJ23435789+0916241,3435789+0916241
2MASXJ23442773+0916015,3442773+0916015
2MASXJ23443095+0907489,3443095+0907489
2MASXJ23445627+0907469,3445627+0907469
2MASXJ23450162+0902415,3450162+0902415
2MASXJ23564740+0934294,3564740+0934294
2MASXJ00012128+0809259,00012128+0809259
2MASXJ00133772+0834461,00133772+0834461
2MASXJ00451156+0833082,00451156+0833082
2MASXJ00574944+0818162,00574944+0818162
2MASXJ00575011+0803032,00575011+0803032
2MASXJ00581471+0812571,00581471+0812571
2MASXJ01005806+0804553,01005806+0804553
2MASXJ01133758+0832486,01133758+0832486
2MASXJ01224034+0818444,01224034+0818444
2MASXJ01234303+0801274,01234303+0801274
2MASXJ01244158+0809234,01244158+0809234
2MASXJ01245752+0844306,01245752+0844306
2MASXJ01250521+0819376,01250521+0819376
2MASXJ01253386+0803257,01253386+0803257
2MASXJ01254377+0802247,01254377+0802247
2MASXJ01261913+0831158,01261913+0831158
2MASXJ01583882+0820212,01583882+0820212
2MASXJ02020852+0826425,02020852+0826425
2MASXJ02363238+0851062,02363238+0851062
2MASXJ02442636+0849564,02442636+0849564
2MASXJ02473426+0834404,02473426+0834404
2MASXJ02583575+0833478,02583575+0833478
2MASXJ03160100+0846156,03160100+0846156
2MASXJ03224805+0844066,03224805+0844066
2MASXJ03255050+0849369,03255050+0849369
2MASXJ03292141+0842569,03292141+0842569
2MASXJ03324043+0835584,03324043+0835584
2MASXJ03380033+0847460,03380033+0847460
2MASXJ03415087+0809354,03415087+0809354
2MASXJ03441826+0807020,03441826+0807020
2MASXJ03531087+0845508,03531087+0845508
2MASXJ04310125+0805103,04310125+0805103
2MASXJ08094623+0831216,08094623+0831216
2MASXJ09582823+0854239,09582823+0854239
2MASXJ10200164+0830533,10200164+0830533
2MASXJ10265612+0809079,10265612+0809079
2MASXJ10290236+0828478,10290236+0828478
2MASXJ10295114+0841325,10295114+0841325
2MASXJ10425964+0835010,10425964+0835010
