col1,2MASS
2MASXJ10173823-0027114,10173823-0027114
2MASXJ10361431-0009321,10361431-0009321
2MASXJ10434516-0025239,10434516-0025239
2MASXJ10490474-0040079,10490474-0040079
2MASXJ11155204-0004363,11155204-0004363
2MASXJ12354233-0012536,12354233-0012536
2MASXJ12585462-0058220,12585462-0058220
2MASXJ13000381-0022153,13000381-0022153
2MASXJ13255176-0040447,13255176-0040447
2MASXJ15113694-0016227,15113694-0016227
2MASXJ16093042-0020016,16093042-0020016
2MASXJ17104740-0021203,17104740-0021203
2MASXJ17121995-0037369,17121995-0037369
2MASXJ17200667-0041261,17200667-0041261
2MASXJ17215887-0040424,17215887-0040424
2MASXJ21300555-0057212,1300555-0057212
2MASXJ21305025-0055389,1305025-0055389
2MASXJ21425941-0056299,1425941-0056299
2MASXJ21505091-0050521,1505091-0050521
2MASXJ21511809-0057257,1511809-0057257
2MASXJ23411196-0005288,3411196-0005288
2MASXJ23432826-0001485,3432826-0001485
2MASXJ01011817+0922053,01011817+0922053
2MASXJ01245967+0925576,01245967+0925576
2MASXJ01272557+0918229,01272557+0918229
2MASXJ02024348+0928169,02024348+0928169
2MASXJ02081433+0907385,02081433+0907385
2MASXJ02120042+0929275,02120042+0929275
2MASXJ03112391+0942132,03112391+0942132
2MASXJ03123424+0944057,03123424+0944057
2MASXJ03262233+0940045,03262233+0940045
2MASXJ03335245+0902390,03335245+0902390
2MASXJ03402231+0913341,03402231+0913341
2MASXJ09563191+0949199,09563191+0949199
2MASXJ10170684+0936227,10170684+0936227
2MASXJ10175494+0908089,10175494+0908089
2MASXJ10202069+0936305,10202069+0936305
2MASXJ10224342+0935307,10224342+0935307
2MASXJ10250450+0931565,10250450+0931565
2MASXJ10255305+0919155,10255305+0919155
2MASXJ10275098+0932156,10275098+0932156
2MASXJ10295135+0900385,10295135+0900385
2MASXJ10554775+0943276,10554775+0943276
2MASXJ11081969+0957025,11081969+0957025
2MASXJ12265135+0946388,12265135+0946388
2MASXJ12335762+0954575,12335762+0954575
2MASXJ12344354+0900170,12344354+0900170
2MASXJ12403550+0933181,12403550+0933181
2MASXJ13083967+0953094,13083967+0953094
2MASXJ13285020+0905162,13285020+0905162
2MASXJ13574945+0952237,13574945+0952237
2MASXJ14015904+0957088,14015904+0957088
2MASXJ14033124+0913151,14033124+0913151
2MASXJ14512794+0919188,14512794+0919188
2MASXJ16131565+0900540,16131565+0900540
2MASXJ16392878+0931413,16392878+0931413
2MASXJ17550617+0956003,17550617+0956003
2MASXJ17570141+0901525,17570141+0901525
2MASXJ20520867+0920580,0520867+0920580
2MASXJ23082151+0934081,3082151+0934081
2MASXJ23172031+0935216,3172031+0935216
2MASXJ23264401+0926456,3264401+0926456
2MASXJ23280092+0946503,3280092+0946503
2MASXJ23283126+0949083,3283126+0949083
2MASXJ23334758+0928276,3334758+0928276
2MASXJ23372596+0920381,3372596+0920381
2MASXJ23394917+0931525,3394917+0931525
2MASXJ23395937+0942265,3395937+0942265
2MASXJ23451235+0916455,3451235+0916455
2MASXJ23460612+0922229,3460612+0922229
2MASXJ23472739+0915548,3472739+0915548
2MASXJ00024069+0846251,00024069+0846251
2MASXJ00042126+0822348,00042126+0822348
2MASXJ00043232+0806175,00043232+0806175
2MASXJ00043477+0823415,00043477+0823415
2MASXJ00051242+0815202,00051242+0815202
2MASXJ00063963+0848295,00063963+0848295
2MASXJ00235721+0832063,00235721+0832063
2MASXJ00250153+0845171,00250153+0845171
2MASXJ00354687+0837473,00354687+0837473
2MASXJ00402109+0834328,00402109+0834328
2MASXJ00415137+0820454,00415137+0820454
2MASXJ00593670+0801414,00593670+0801414
2MASXJ01082447+0820552,01082447+0820552
2MASXJ01083020+0819222,01083020+0819222
2MASXJ02485354+0824208,02485354+0824208
2MASXJ09080540+0830385,09080540+0830385
2MASXJ09200864+0809007,09200864+0809007
2MASXJ10001132+0811189,10001132+0811189
2MASXJ10215543+0820190,10215543+0820190
2MASXJ10231421+0823463,10231421+0823463
2MASXJ10282540+0859004,10282540+0859004
2MASXJ10284739+0850367,10284739+0850367
2MASXJ10285130+0829077,10285130+0829077
2MASXJ10285811+0831177,10285811+0831177
2MASXJ10340734+0857332,10340734+0857332
2MASXJ11043263+0855041,11043263+0855041
2MASXJ11222124+0836494,11222124+0836494
2MASXJ12371138+0839294,12371138+0839294
2MASXJ12594204+0856121,12594204+0856121
2MASXJ12594865+0855581,12594865+0855581
2MASXJ13155146+0802196,13155146+0802196
2MASXJ13315821+0855456,13315821+0855456
2MASXJ13372542+0839432,13372542+0839432
2MASXJ14010892+0835016,14010892+0835016
2MASXJ14015923+0856158,14015923+0856158
2MASXJ14030442+0856513,14030442+0856513
2MASXJ14031275+0853441,14031275+0853441
2MASXJ15162157+0806042,15162157+0806042
2MASXJ15224787+0843064,15224787+0843064
2MASXJ15303431+0829295,15303431+0829295
2MASXJ15554654+0840313,15554654+0840313
2MASXJ16064185+0844368,16064185+0844368
2MASXJ16332761+0801122,16332761+0801122
2MASXJ17211376+0836516,17211376+0836516
2MASXJ17270071+0834528,17270071+0834528
2MASXJ20493051+0820412,0493051+0820412
2MASXJ20580156+0830109,0580156+0830109
2MASXJ20584621+0850219,0584621+0850219
2MASXJ21393838+0856406,1393838+0856406
2MASXJ22010331+0840596,010331+0840596
2MASXJ22054972+0837316,054972+0837316
2MASXJ22283203+0831112,83203+0831112
2MASXJ22351179+0810540,351179+0810540
2MASXJ22434269+0846369,434269+0846369
2MASXJ22435004+0840399,435004+0840399
2MASXJ22435126+0838119,435126+0838119
2MASXJ22472823+0813369,472823+0813369
2MASXJ22590917+0837151,590917+0837151
2MASXJ23365939+0854542,3365939+0854542
2MASXJ23493064+0847442,3493064+0847442
2MASXJ23581581+0815247,3581581+0815247
2MASXJ00253704+0728302,00253704+0728302
2MASXJ00435757+0715142,00435757+0715142
2MASXJ00540158+0723404,00540158+0723404
2MASXJ00570145+0719455,00570145+0719455
2MASXJ00570654+0733515,00570654+0733515
2MASXJ00571577+0715356,00571577+0715356
2MASXJ01010096+0753323,01010096+0753323
2MASXJ01010386+0715543,01010386+0715543
2MASXJ01045559+0741375,01045559+0741375
2MASXJ02173139+0726559,02173139+0726559
