col1,2MASS
2MASXJ14554464+0051583,14554464+0051583
2MASXJ15064862+0051244,15064862+0051244
2MASXJ15184998+0000391,15184998+0000391
2MASXJ17111998+0037410,17111998+0037410
2MASXJ17223101+0034128,17223101+0034128
2MASXJ17234483+0021132,17234483+0021132
2MASXJ21333130+0033282,1333130+0033282
2MASXJ21495842+0032427,1495842+0032427
2MASXJ21551240+0059062,1551240+0059062
2MASXJ23191902+0056446,3191902+0056446
2MASXJ00411949+1953163,00411949+1953163
2MASXJ00572106+1925339,00572106+1925339
2MASXJ01135301+1910367,01135301+1910367
2MASXJ01224119+1937512,01224119+1937512
2MASXJ01304332+1903405,01304332+1903405
2MASXJ01385224+1936401,01385224+1936401
2MASXJ02051814+1931063,02051814+1931063
2MASXJ02181870+1911091,02181870+1911091
2MASXJ02212535+1914117,02212535+1914117
2MASXJ02231504+1935549,02231504+1935549
2MASXJ02250061+1942091,02250061+1942091
2MASXJ02400173+1900265,02400173+1900265
2MASXJ02515159+1941475,02515159+1941475
2MASXJ03005912+1919232,03005912+1919232
2MASXJ03092323+1907132,03092323+1907132
2MASXJ03095493+1901553,03095493+1901553
2MASXJ03132512+1947311,03132512+1947311
2MASXJ04284932+1930097,04284932+1930097
2MASXJ08204524+1921444,08204524+1921444
2MASXJ08380962+1943319,08380962+1943319
2MASXJ08382562+1935079,08382562+1935079
2MASXJ08454269+1943326,08454269+1943326
2MASXJ08454439+1942336,08454439+1942336
2MASXJ08483017+1902378,08483017+1902378
2MASXJ08503375+1914415,08503375+1914415
2MASXJ08503460+1922095,08503460+1922095
2MASXJ08523702+1919534,08523702+1919534
2MASXJ09093741+1928078,09093741+1928078
2MASXJ09111312+1924005,09111312+1924005
2MASXJ09134382+1900501,09134382+1900501
2MASXJ09141922+1902018,09141922+1902018
2MASXJ09150276+1941491,09150276+1941491
2MASXJ10093039+1952397,10093039+1952397
2MASXJ10110792+1944292,10110792+1944292
2MASXJ10133097+1954392,10133097+1954392
2MASXJ10322139+1948147,10322139+1948147
2MASXJ10474364+1951470,10474364+1951470
2MASXJ10572962+1903053,10572962+1903053
2MASXJ11130490+1927344,11130490+1927344
2MASXJ11370959+1953527,11370959+1953527
2MASXJ11421476+1958350,11421476+1958350
2MASXJ11460303+1926138,11460303+1926138
2MASXJ12045508+1958552,12045508+1958552
2MASXJ12093135+1912346,12093135+1912346
2MASXJ12113804+1950428,12113804+1950428
2MASXJ13222939+1931369,13222939+1931369
2MASXJ13225024+1941266,13225024+1941266
2MASXJ14244493+1930197,14244493+1930197
2MASXJ14264638+1922226,14264638+1922226
2MASXJ14445421+1927533,14445421+1927533
2MASXJ15120426+1948591,15120426+1948591
2MASXJ16012567+1906055,16012567+1906055
2MASXJ16024029+1929135,16024029+1929135
2MASXJ16154214+1938150,16154214+1938150
2MASXJ17091568+1953244,17091568+1953244
2MASXJ17105728+1929562,17105728+1929562
2MASXJ21204130+1902245,1204130+1902245
2MASXJ23071360+1906233,3071360+1906233
2MASXJ23190854+1946547,3190854+1946547
2MASXJ23203448+1908460,3203448+1908460
2MASXJ23275335+1908231,3275335+1908231
2MASXJ23301927+1952048,3301927+1952048
2MASXJ23302533+1917578,3302533+1917578
2MASXJ00110293+1811582,00110293+1811582
2MASXJ01263037+1822079,01263037+1822079
2MASXJ02344656+1820502,02344656+1820502
2MASXJ02522438+1857282,02522438+1857282
2MASXJ03035369+1806536,03035369+1806536
2MASXJ03563152+1817111,03563152+1817111
2MASXJ07523897+1819180,07523897+1819180
2MASXJ07562318+1832030,07562318+1832030
2MASXJ08204363+1823524,08204363+1823524
2MASXJ08283447+1859233,08283447+1859233
2MASXJ08414123+1851365,08414123+1851365
2MASXJ08461028+1835045,08461028+1835045
2MASXJ08482467+1819518,08482467+1819518
2MASXJ08525658+1816400,08525658+1816400
2MASXJ08552285+1802089,08552285+1802089
2MASXJ09012615+1858231,09012615+1858231
2MASXJ09032963+1818248,09032963+1818248
2MASXJ09060030+1845525,09060030+1845525
2MASXJ09071231+1806536,09071231+1806536
2MASXJ09080615+1850563,09080615+1850563
2MASXJ09093498+1836564,09093498+1836564
2MASXJ09104815+1846425,09104815+1846425
2MASXJ09135342+1856302,09135342+1856302
2MASXJ09173411+1857081,09173411+1857081
2MASXJ09205858+1844389,09205858+1844389
2MASXJ09220767+1820026,09220767+1820026
2MASXJ10435013+1832424,10435013+1832424
2MASXJ10442104+1833184,10442104+1833184
2MASXJ11023008+1847063,11023008+1847063
2MASXJ11370666+1811377,11370666+1811377
2MASXJ14471257+1851330,14471257+1851330
2MASXJ14491676+1844379,14491676+1844379
2MASXJ16002782+1815500,16002782+1815500
2MASXJ16002919+1851080,16002919+1851080
2MASXJ16052745+1820266,16052745+1820266
2MASXJ16082913+1812447,16082913+1812447
2MASXJ22400737+1835344,400737+1835344
2MASXJ23095238+1858248,3095238+1858248
2MASXJ23184802+1852308,3184802+1852308
2MASXJ23194368+1852551,3194368+1852551
2MASXJ23265082+1805541,3265082+1805541
2MASXJ01193773+1735407,01193773+1735407
2MASXJ01251439+1718273,01251439+1718273
2MASXJ01443051+1706091,01443051+1706091
2MASXJ03124323+1704313,03124323+1704313
2MASXJ03154525+1701234,03154525+1701234
2MASXJ03415314+1749353,03415314+1749353
2MASXJ08092238+1745564,08092238+1745564
2MASXJ08241428+1719548,08241428+1719548
2MASXJ08464456+1745177,08464456+1745177
2MASXJ08592030+1723160,08592030+1723160
2MASXJ09024445+1742366,09024445+1742366
2MASXJ09041959+1717324,09041959+1717324
2MASXJ09065842+1757494,09065842+1757494
2MASXJ09160180+1749144,09160180+1749144
2MASXJ09163432+1755088,09163432+1755088
2MASXJ09551744+1741150,09551744+1741150
2MASXJ10545526+1742292,10545526+1742292
2MASXJ11055573+1720479,11055573+1720479
2MASXJ11324331+1708102,11324331+1708102
2MASXJ12005397+1753401,12005397+1753401
2MASXJ13052006+1755225,13052006+1755225
2MASXJ13505359+1703103,13505359+1703103
2MASXJ13521546+1717345,13521546+1717345
2MASXJ14233199+1726582,14233199+1726582
2MASXJ14283124+1714592,14283124+1714592
2MASXJ14342408+1748166,14342408+1748166
2MASXJ14383469+1746538,14383469+1746538
2MASXJ14511797+1734472,14511797+1734472
2MASXJ14523844+1710476,14523844+1710476
2MASXJ14540058+1713096,14540058+1713096
2MASXJ15545605+1722414,15545605+1722414
2MASXJ15584034+1703445,15584034+1703445
2MASXJ16052944+1755428,16052944+1755428
2MASXJ16063522+1753331,16063522+1753331
2MASXJ16072428+1739427,16072428+1739427
2MASXJ17291799+1733165,17291799+1733165
2MASXJ21230428+1712186,1230428+1712186
2MASXJ23222518+1757552,3222518+1757552
2MASXJ23233110+1725204,3233110+1725204
2MASXJ23243240+1759524,3243240+1759524
2MASXJ23251114+1746597,3251114+1746597
2MASXJ00544178+1624201,00544178+1624201
2MASXJ01173327+1659440,01173327+1659440
2MASXJ02060750+1653093,02060750+1653093
2MASXJ02344079+1652208,02344079+1652208
2MASXJ02502858+1622103,02502858+1622103
2MASXJ03162938+1653559,03162938+1653559
2MASXJ03503218+1615223,03503218+1615223
2MASXJ08005986+1640143,08005986+1640143
2MASXJ08204609+1638448,08204609+1638448
2MASXJ08213593+1629483,08213593+1629483
2MASXJ08411953+1654214,08411953+1654214
2MASXJ08481768+1657328,08481768+1657328
2MASXJ08563446+1648342,08563446+1648342
2MASXJ09024489+1656266,09024489+1656266
2MASXJ09075229+1614037,09075229+1614037
2MASXJ09141274+1644321,09141274+1644321
2MASXJ09165781+1618151,09165781+1618151
2MASXJ09174043+1625055,09174043+1625055
2MASXJ09184244+1628565,09184244+1628565
2MASXJ10255973+1643165,10255973+1643165
2MASXJ11083803+1644211,11083803+1644211
2MASXJ11085126+1641229,11085126+1641229
2MASXJ14272555+1611275,14272555+1611275
2MASXJ14280677+1641245,14280677+1641245
2MASXJ14343986+1626268,14343986+1626268
2MASXJ14345530+1603247,14345530+1603247
2MASXJ14350153+1623236,14350153+1623236
2MASXJ14442618+1647325,14442618+1647325
2MASXJ14530447+1642057,14530447+1642057
2MASXJ14531063+1659517,14531063+1659517
2MASXJ14552971+1627465,14552971+1627465
2MASXJ14593644+1644320,14593644+1644320
2MASXJ15013630+1643473,15013630+1643473
2MASXJ15450149+1655260,15450149+1655260
2MASXJ16001836+1625299,16001836+1625299
2MASXJ16005391+1653505,16005391+1653505
2MASXJ16020177+1626071,16020177+1626071
2MASXJ16030984+1608195,16030984+1608195
2MASXJ16040440+1628472,16040440+1628472
2MASXJ16071043+1634331,16071043+1634331
2MASXJ16443073+1619473,16443073+1619473
2MASXJ17133485+1602593,17133485+1602593
2MASXJ20591765+1609179,0591765+1609179
2MASXJ21034031+1652197,1034031+1652197
2MASXJ21090210+1659410,1090210+1659410
2MASXJ22150864+1625551,150864+1625551
2MASXJ22223673+1644114,3673+1644114
2MASXJ23180754+1603390,3180754+1603390
2MASXJ23193541+1612292,3193541+1612292
2MASXJ23273591+1639155,3273591+1639155
2MASXJ02403943+1542143,02403943+1542143
2MASXJ02494064+1519563,02494064+1519563
2MASXJ03393800+1544396,03393800+1544396
2MASXJ03444269+1544117,03444269+1544117
2MASXJ03560128+1510113,03560128+1510113
2MASXJ03570952+1521324,03570952+1521324
2MASXJ03572616+1505463,03572616+1505463
2MASXJ03584522+1514160,03584522+1514160
2MASXJ03585587+1517400,03585587+1517400
2MASXJ04030348+1515062,04030348+1515062
2MASXJ04083734+1553139,04083734+1553139
2MASXJ04100695+1539222,04100695+1539222
2MASXJ05404189+1530110,05404189+1530110
2MASXJ07594014+1523122,07594014+1523122
2MASXJ08013724+1542355,08013724+1542355
2MASXJ09092254+1547458,09092254+1547458
2MASXJ09132256+1549392,09132256+1549392
2MASXJ09145450+1541272,09145450+1541272
2MASXJ09511951+1544543,09511951+1544543
2MASXJ10100811+1540537,10100811+1540537
2MASXJ10230418+1528335,10230418+1528335
2MASXJ12355259+1522234,12355259+1522234
2MASXJ13151042+1532454,13151042+1532454
2MASXJ13273495+1511212,13273495+1511212
2MASXJ14005078+1543572,14005078+1543572
2MASXJ14253297+1557303,14253297+1557303
2MASXJ14263659+1524068,14263659+1524068
2MASXJ15353768+1544202,15353768+1544202
2MASXJ16021181+1555052,16021181+1555052
2MASXJ16452019+1536145,16452019+1536145
2MASXJ16595083+1520277,16595083+1520277
2MASXJ21371833+1554446,1371833+1554446
2MASXJ22172473+1513015,172473+1513015
2MASXJ23185822+1551519,3185822+1551519
2MASXJ23251420+1514417,3251420+1514417
2MASXJ00004789+1416390,00004789+1416390
2MASXJ01114615+1458403,01114615+1458403
2MASXJ02491020+1436036,02491020+1436036
2MASXJ03394002+1437236,03394002+1437236
2MASXJ03394369+1406375,03394369+1406375
2MASXJ03594341+1441488,03594341+1441488
2MASXJ07544438+1436251,07544438+1436251
2MASXJ07580133+1442095,07580133+1442095
2MASXJ09022278+1431315,09022278+1431315
2MASXJ09025302+1426016,09025302+1426016
2MASXJ09435542+1450281,09435542+1450281
2MASXJ10053610+1433371,10053610+1433371
2MASXJ10061352+1442072,10061352+1442072
2MASXJ10171545+1455096,10171545+1455096
2MASXJ10193013+1423022,10193013+1423022
2MASXJ12000440+1412125,12000440+1412125
2MASXJ12251257+1402219,12251257+1402219
2MASXJ13361328+1453444,13361328+1453444
2MASXJ14070061+1452527,14070061+1452527
2MASXJ14351443+1427165,14351443+1427165
2MASXJ14394818+1444424,14394818+1444424
2MASXJ14534574+1430545,14534574+1430545
2MASXJ16024473+1450249,16024473+1450249
2MASXJ16482185+1457163,16482185+1457163
2MASXJ16570860+1444580,16570860+1444580
2MASXJ21420145+1419071,1420145+1419071
2MASXJ22362589+1401263,362589+1401263
2MASXJ23240714+1450069,3240714+1450069
2MASXJ23250059+1458507,3250059+1458507
2MASXJ00014524+1306020,00014524+1306020
2MASXJ01225421+1307386,01225421+1307386
2MASXJ02052852+1315054,02052852+1315054
2MASXJ03591070+1329495,03591070+1329495
2MASXJ04031846+1312350,04031846+1312350
2MASXJ04034656+1325589,04034656+1325589
2MASXJ04040597+1317031,04040597+1317031
2MASXJ04041194+1323420,04041194+1323420
2MASXJ04055515+1345549,04055515+1345549
2MASXJ05451322+1313151,05451322+1313151
2MASXJ09010916+1311457,09010916+1311457
2MASXJ09030776+1341496,09030776+1341496
2MASXJ09043703+1333144,09043703+1333144
2MASXJ09284418+1349155,09284418+1349155
2MASXJ09344553+1348571,09344553+1348571
2MASXJ09372090+1348179,09372090+1348179
2MASXJ09560472+1324377,09560472+1324377
2MASXJ09585991+1303081,09585991+1303081
2MASXJ09590662+1301351,09590662+1301351
2MASXJ09590895+1303521,09590895+1303521
2MASXJ09593210+1343582,09593210+1343582
2MASXJ10014857+1346318,10014857+1346318
2MASXJ10022640+1356329,10022640+1356329
2MASXJ10051724+1359041,10051724+1359041
2MASXJ10212589+1300310,10212589+1300310
2MASXJ10221945+1303226,10221945+1303226
2MASXJ11062667+1333172,11062667+1333172
2MASXJ11074208+1306165,11074208+1306165
2MASXJ13555894+1351407,13555894+1351407
2MASXJ14274258+1354246,14274258+1354246
2MASXJ14344457+1318118,14344457+1318118
2MASXJ14404168+1328482,14404168+1328482
2MASXJ14464776+1341420,14464776+1341420
2MASXJ15373811+1328204,15373811+1328204
2MASXJ16481471+1354163,16481471+1354163
2MASXJ16575446+1329508,16575446+1329508
2MASXJ23150787+1310142,3150787+1310142
2MASXJ23572199+1307113,3572199+1307113
2MASXJ00021916+1258176,00021916+1258176
2MASXJ01571980+1215022,01571980+1215022
2MASXJ02394417+1223168,02394417+1223168
2MASXJ02402120+1250353,02402120+1250353
2MASXJ04023049+1235362,04023049+1235362
2MASXJ08412467+1205168,08412467+1205168
2MASXJ08580071+1253133,08580071+1253133
2MASXJ10131250+1239271,10131250+1239271
2MASXJ10194126+1250348,10194126+1250348
2MASXJ10233140+1249455,10233140+1249455
2MASXJ10325301+1205337,10325301+1205337
2MASXJ10505457+1257067,10505457+1257067
2MASXJ11123698+1206176,11123698+1206176
2MASXJ11480887+1254524,11480887+1254524
2MASXJ12035735+1241296,12035735+1241296
2MASXJ12581809+1223270,12581809+1223270
2MASXJ13054573+1203089,13054573+1203089
2MASXJ13212860+1220171,13212860+1220171
2MASXJ13414338+1244056,13414338+1244056
2MASXJ14042076+1200577,14042076+1200577
2MASXJ14395290+1222184,14395290+1222184
2MASXJ14400521+1219218,14400521+1219218
2MASXJ14481119+1235594,14481119+1235594
2MASXJ14541860+1229457,14541860+1229457
2MASXJ14570312+1216026,14570312+1216026
2MASXJ15392130+1219555,15392130+1219555
2MASXJ16002263+1245280,16002263+1245280
2MASXJ16024884+1239048,16024884+1239048
2MASXJ22515465+1246307,515465+1246307
2MASXJ22580873+1228284,580873+1228284
2MASXJ23555365+1211241,3555365+1211241
2MASXJ03490547+1127045,03490547+1127045
2MASXJ03532908+1144463,03532908+1144463
2MASXJ03570762+1123175,03570762+1123175
2MASXJ09015449+1140333,09015449+1140333
2MASXJ09083759+1142567,09083759+1142567
2MASXJ09364995+1145034,09364995+1145034
2MASXJ09592936+1112029,09592936+1112029
2MASXJ10003962+1156484,10003962+1156484
2MASXJ10011426+1127430,10011426+1127430
2MASXJ10015235+1104193,10015235+1104193
2MASXJ10052746+1107151,10052746+1107151
2MASXJ10261377+1102324,10261377+1102324
2MASXJ10280909+1102184,10280909+1102184
2MASXJ10380179+1157088,10380179+1157088
2MASXJ10545192+1108083,10545192+1108083
2MASXJ11010180+1102487,11010180+1102487
2MASXJ11591217+1130195,11591217+1130195
2MASXJ13115600+1105479,13115600+1105479
2MASXJ14031209+1143112,14031209+1143112
2MASXJ15221619+1108536,15221619+1108536
2MASXJ16403638+1147545,16403638+1147545
2MASXJ21370231+1154228,1370231+1154228
2MASXJ21514415+1134309,1514415+1134309
2MASXJ23414828+1118202,3414828+1118202
2MASXJ00041299+1047258,00041299+1047258
2MASXJ00494131+1001274,00494131+1001274
2MASXJ01234744+1050299,01234744+1050299
2MASXJ01253432+1007527,01253432+1007527
2MASXJ02490692+1006393,02490692+1006393
2MASXJ03430087+1022585,03430087+1022585
2MASXJ03511233+1042192,03511233+1042192
2MASXJ09294917+1028019,09294917+1028019
2MASXJ09400474+1056579,09400474+1056579
2MASXJ09495158+1025552,09495158+1025552
2MASXJ09531190+1024577,09531190+1024577
2MASXJ09590512+1021399,09590512+1021399
2MASXJ10035679+1030285,10035679+1030285
2MASXJ10225196+1044598,10225196+1044598
2MASXJ10254305+1057215,10254305+1057215
2MASXJ10280292+1046304,10280292+1046304
2MASXJ10301546+1047394,10301546+1047394
2MASXJ10521175+1008226,10521175+1008226
2MASXJ10523344+1001085,10523344+1001085
2MASXJ10594312+1027451,10594312+1027451
2MASXJ12180950+1056552,12180950+1056552
2MASXJ12192941+1020256,12192941+1020256
2MASXJ12401660+1031064,12401660+1031064
2MASXJ12545766+1041083,12545766+1041083
2MASXJ13592030+1008212,13592030+1008212
2MASXJ15522878+1006415,15522878+1006415
2MASXJ16072191+1021578,16072191+1021578
2MASXJ16075348+1016098,16075348+1016098
2MASXJ16343985+1037193,16343985+1037193
2MASXJ16363297+1015115,16363297+1015115
2MASXJ17592677+1013574,17592677+1013574
2MASXJ21532867+1007281,1532867+1007281
2MASXJ23153994+1009461,3153994+1009461
2MASXJ23181015+1015038,3181015+1015038
2MASXJ23185077+1030090,3185077+1030090
2MASXJ23192263+1054105,3192263+1054105
2MASXJ23220716+1018202,3220716+1018202
2MASXJ23225709+1031565,3225709+1031565
2MASXJ23225846+1052135,3225846+1052135
2MASXJ00220545+2909520,00220545+2909520
2MASXJ00382319+2928214,00382319+2928214
2MASXJ00413760+2912096,00413760+2912096
2MASXJ00452186+2949405,00452186+2949405
2MASXJ00471276+2908110,00471276+2908110
2MASXJ00532664+2916134,00532664+2916134
2MASXJ01474596+2933295,01474596+2933295
2MASXJ02023454+2914176,02023454+2914176
2MASXJ02080890+2915217,02080890+2915217
2MASXJ02115740+2918495,02115740+2918495
2MASXJ07440911+2914506,07440911+2914506
2MASXJ08132917+2902136,08132917+2902136
2MASXJ08190616+2920126,08190616+2920126
2MASXJ08242242+2951501,08242242+2951501
2MASXJ08424539+2923592,08424539+2923592
2MASXJ08514857+2916462,08514857+2916462
2MASXJ09084752+2951531,09084752+2951531
2MASXJ09251735+2929311,09251735+2929311
2MASXJ09491647+2915496,09491647+2915496
2MASXJ10042107+2943266,10042107+2943266
2MASXJ10171828+2914341,10171828+2914341
2MASXJ10490099+2953148,10490099+2953148
2MASXJ10560931+2940139,10560931+2940139
2MASXJ11013286+2938079,11013286+2938079
2MASXJ11102960+2926287,11102960+2926287
2MASXJ11150175+2909199,11150175+2909199
2MASXJ11455835+2919571,11455835+2919571
2MASXJ11594259+2947129,11594259+2947129
2MASXJ12123501+2949390,12123501+2949390
2MASXJ12534859+2935179,12534859+2935179
2MASXJ12565112+2922408,12565112+2922408
2MASXJ12570157+2903448,12570157+2903448
2MASXJ12581821+2907437,12581821+2907437
2MASXJ13003953+2901096,13003953+2901096
2MASXJ13014385+2955367,13014385+2955367
2MASXJ13061725+2903471,13061725+2903471
2MASXJ13085502+2902274,13085502+2902274
2MASXJ13091603+2922034,13091603+2922034
2MASXJ13150191+2910494,13150191+2910494
2MASXJ13153485+2940338,13153485+2940338
2MASXJ13415456+2940579,13415456+2940579
2MASXJ13430140+2913060,13430140+2913060
2MASXJ14245992+2917068,14245992+2917068
2MASXJ14472534+2954476,14472534+2954476
2MASXJ15434487+2925465,15434487+2925465
2MASXJ17040744+2954518,17040744+2954518
2MASXJ00071561+2821051,00071561+2821051
2MASXJ00111422+2854233,00111422+2854233
2MASXJ00352317+2807355,00352317+2807355
2MASXJ00480865+2836497,00480865+2836497
2MASXJ00484526+2803189,00484526+2803189
2MASXJ01444689+2854094,01444689+2854094
2MASXJ01451727+2824480,01451727+2824480
2MASXJ01504271+2846541,01504271+2846541
2MASXJ02003521+2813310,02003521+2813310
2MASXJ02075909+2852079,02075909+2852079
2MASXJ02160337+2857240,02160337+2857240
2MASXJ07481096+2813492,07481096+2813492
2MASXJ08021861+2846479,08021861+2846479
2MASXJ08353516+2809156,08353516+2809156
2MASXJ08364918+2840078,08364918+2840078
2MASXJ09511363+2821298,09511363+2821298
2MASXJ10033177+2813161,10033177+2813161
2MASXJ10033434+2815411,10033434+2815411
2MASXJ10044175+2821240,10044175+2821240
2MASXJ10181877+2801065,10181877+2801065
2MASXJ10530602+2834116,10530602+2834116
2MASXJ11104649+2841338,11104649+2841338
2MASXJ11123496+2802287,11123496+2802287
2MASXJ11290129+2849146,11290129+2849146
2MASXJ11355716+2811485,11355716+2811485
2MASXJ11495611+2858563,11495611+2858563
2MASXJ12121670+2818114,12121670+2818114
2MASXJ12224321+2804373,12224321+2804373
2MASXJ12285930+2851430,12285930+2851430
2MASXJ12391143+2800184,12391143+2800184
2MASXJ12510174+2855401,12510174+2855401
2MASXJ12510889+2847171,12510889+2847171
2MASXJ12545366+2825015,12545366+2825015
2MASXJ12554777+2815215,12554777+2815215
2MASXJ12561096+2809470,12561096+2809470
2MASXJ12580552+2814335,12580552+2814335
2MASXJ13012507+2840376,13012507+2840376
2MASXJ13021282+2812529,13021282+2812529
2MASXJ13032529+2800504,13032529+2800504
2MASXJ13055345+2806447,13055345+2806447
2MASXJ13082728+2819139,13082728+2819139
2MASXJ13085419+2811015,13085419+2811015
2MASXJ13482291+2859063,13482291+2859063
2MASXJ13570368+2808054,13570368+2808054
2MASXJ14071962+2805367,14071962+2805367
2MASXJ14135646+2843184,14135646+2843184
2MASXJ14285041+2842107,14285041+2842107
2MASXJ14291660+2849189,14291660+2849189
2MASXJ14340519+2801218,14340519+2801218
2MASXJ15120412+2825142,15120412+2825142
2MASXJ15434439+2831165,15434439+2831165
2MASXJ16123406+2819086,16123406+2819086
2MASXJ17064626+2813474,17064626+2813474
2MASXJ23073082+2813264,3073082+2813264
2MASXJ00073935+2733122,00073935+2733122
2MASXJ00242157+2747207,00242157+2747207
2MASXJ00471856+2749398,00471856+2749398
2MASXJ00480148+2737257,00480148+2737257
2MASXJ01112119+2755430,01112119+2755430
2MASXJ01400428+2740171,01400428+2740171
2MASXJ01430802+2745022,01430802+2745022
2MASXJ01472484+2753085,01472484+2753085
2MASXJ01483522+2732532,01483522+2732532
2MASXJ01501400+2738444,01501400+2738444
2MASXJ01582694+2701348,01582694+2701348
2MASXJ02024804+2740477,02024804+2740477
2MASXJ02044371+2708153,02044371+2708153
2MASXJ02100337+2707427,02100337+2707427
2MASXJ02262608+2739152,02262608+2739152
2MASXJ02303951+2709321,02303951+2709321
2MASXJ07250149+2719270,07250149+2719270
2MASXJ07470489+2756507,07470489+2756507
2MASXJ08012854+2716392,08012854+2716392
2MASXJ08070551+2707336,08070551+2707336
2MASXJ09073983+2712123,09073983+2712123
2MASXJ09140032+2714487,09140032+2714487
2MASXJ09171680+2744486,09171680+2744486
2MASXJ09184757+2757231,09184757+2757231
2MASXJ09325869+2729597,09325869+2729597
2MASXJ09405986+2746146,09405986+2746146
2MASXJ09514650+2732455,09514650+2732455
2MASXJ10040445+2714006,10040445+2714006
2MASXJ10100923+2734324,10100923+2734324
2MASXJ10132945+2730402,10132945+2730402
2MASXJ10203435+2751257,10203435+2751257
2MASXJ10210038+2714164,10210038+2714164
2MASXJ10500866+2719139,10500866+2719139
2MASXJ10535036+2704310,10535036+2704310
2MASXJ10543863+2725550,10543863+2725550
2MASXJ11103886+2713518,11103886+2713518
2MASXJ11111669+2715443,11111669+2715443
2MASXJ11182838+2752243,11182838+2752243
2MASXJ12543321+2737575,12543321+2737575
2MASXJ12545516+2724455,12545516+2724455
2MASXJ12572525+2724168,12572525+2724168
2MASXJ12574616+2745254,12574616+2745254
2MASXJ12583518+2735467,12583518+2735467
2MASXJ12590526+2738399,12590526+2738399
2MASXJ12592016+2753098,12592016+2753098
2MASXJ12594132+2739347,12594132+2739347
2MASXJ13001780+2723152,13001780+2723152
2MASXJ13003568+2734266,13003568+2734266
2MASXJ13005609+2747268,13005609+2747268
2MASXJ13012613+2753095,13012613+2753095
2MASXJ13063640+2752231,13063640+2752231
2MASXJ13174520+2734111,13174520+2734111
2MASXJ13341215+2700115,13341215+2700115
2MASXJ15301224+2708025,15301224+2708025
2MASXJ15354188+2722309,15354188+2722309
2MASXJ15592961+2744080,15592961+2744080
2MASXJ16422071+2727413,16422071+2727413
2MASXJ17013249+2756293,17013249+2756293
2MASXJ17020097+2745331,17020097+2745331
2MASXJ00064016+2609164,00064016+2609164
2MASXJ00104915+2626013,00104915+2626013
2MASXJ00173026+2615342,00173026+2615342
2MASXJ00491295+2600429,00491295+2600429
2MASXJ01204616+2648216,01204616+2648216
2MASXJ01331560+2614556,01331560+2614556
2MASXJ02063592+2606276,02063592+2606276
2MASXJ02065397+2616446,02065397+2616446
2MASXJ02110568+2654542,02110568+2654542
2MASXJ02235802+2614499,02235802+2614499
2MASXJ02261518+2606233,02261518+2606233
2MASXJ02274641+2635222,02274641+2635222
2MASXJ02284905+2644496,02284905+2644496
2MASXJ02360580+2601370,02360580+2601370
2MASXJ02560412+2643338,02560412+2643338
2MASXJ09172911+2635597,09172911+2635597
2MASXJ09355977+2640261,09355977+2640261
2MASXJ09381122+2644113,09381122+2644113
2MASXJ09394754+2624168,09394754+2624168
2MASXJ09411001+2612438,09411001+2612438
2MASXJ09540780+2625034,09540780+2625034
2MASXJ09591449+2605382,09591449+2605382
2MASXJ10062587+2604564,10062587+2604564
2MASXJ10180967+2613433,10180967+2613433
2MASXJ10463681+2647229,10463681+2647229
2MASXJ11092029+2619101,11092029+2619101
2MASXJ11140979+2646581,11140979+2646581
2MASXJ11401539+2638513,11401539+2638513
2MASXJ11435369+2610594,11435369+2610594
2MASXJ12521177+2652292,12521177+2652292
2MASXJ12562784+2659150,12562784+2659150
2MASXJ12565116+2653558,12565116+2653558
2MASXJ12565229+2629158,12565229+2629158
2MASXJ13030596+2631524,13030596+2631524
2MASXJ13042824+2640192,13042824+2640192
2MASXJ14104307+2644470,14104307+2644470
2MASXJ14530534+2627327,14530534+2627327
2MASXJ15271824+2640283,15271824+2640283
2MASXJ16253017+2600251,16253017+2600251
2MASXJ16410291+2609044,16410291+2609044
2MASXJ17003993+2647370,17003993+2647370
2MASXJ00120064+2513572,00120064+2513572
2MASXJ00121201+2524162,00121201+2524162
2MASXJ00342741+2559511,00342741+2559511
2MASXJ00355825+2540545,00355825+2540545
2MASXJ00361933+2548267,00361933+2548267
2MASXJ00412801+2529576,00412801+2529576
2MASXJ00462671+2537167,00462671+2537167
2MASXJ01484497+2553092,01484497+2553092
2MASXJ02083871+2518436,02083871+2518436
2MASXJ02103650+2551246,02103650+2551246
2MASXJ02112289+2549479,02112289+2549479
2MASXJ02130502+2535310,02130502+2535310
2MASXJ02161077+2514130,02161077+2514130
2MASXJ02223741+2556233,02223741+2556233
2MASXJ02273247+2540073,02273247+2540073
2MASXJ02284069+2545253,02284069+2545253
2MASXJ08363619+2508129,08363619+2508129
2MASXJ09484416+2529469,09484416+2529469
2MASXJ09532729+2541010,09532729+2541010
2MASXJ10391243+2523428,10391243+2523428
2MASXJ10395370+2510094,10395370+2510094
2MASXJ10530759+2539346,10530759+2539346
2MASXJ10565206+2537293,10565206+2537293
2MASXJ11020114+2536573,11020114+2536573
2MASXJ12080821+2501581,12080821+2501581
2MASXJ12203006+2530553,12203006+2530553
2MASXJ12221498+2557051,12221498+2557051
2MASXJ13404543+2557188,13404543+2557188
2MASXJ13485258+2540408,13485258+2540408
2MASXJ13524113+2501019,13524113+2501019
2MASXJ14115944+2522233,14115944+2522233
2MASXJ14221000+2505490,14221000+2505490
2MASXJ14430259+2509081,14430259+2509081
2MASXJ15235955+2558373,15235955+2558373
2MASXJ15282286+2558406,15282286+2558406
